,id,name,popularity,duration,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
0,6Aw5k0jkFceYayaJoRupLT,Pura Pura Lupa,71,246964,Mahen,0.529,0.446,-9.167,0.0294,0.757,0.000764,0.14,111.903
1,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,90,182160,Lewis Capaldi,0.501,0.405,-5.679,0.0319,0.751,0.0,0.446,109.891
2,5drW6PGRxkE6MxttzVLNk5,Secukupnya,69,205466,Hindia,0.731,0.796,-5.098,0.0344,0.19,0.0606,0.933,102.006
3,7iTF9T1jum3Km6H6WMZpDC,One Only,72,255492,Pamungkas,0.25,0.519,-6.39,0.0314,0.219,3.18e-06,0.113,144.63
4,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,85,158571,Surfaces,0.878,0.525,-6.832,0.0578,0.183,0.0,0.694,112.022
5,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),90,173333,"Powfu, beabadoobee",0.726,0.431,-8.765,0.135,0.731,0.0,0.348,144.026
6,2b8fOow8UzyDFAE27YhOZM,Memories,89,189486,Maroon 5,0.764,0.32,-7.209,0.0546,0.837,0.0,0.575,91.019
7,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),82,212866,"Justin Bieber, Quavo",0.806,0.546,-6.637,0.0575,0.3,0.0,0.874,147.986
8,4vh193RZbEEBanSG0719Wh,Lebih Dari Egoku,67,249097,Mawar De Jongh,0.672,0.392,-7.72,0.0271,0.738,0.0,0.333,79.961
9,4qgIQcskrvj6nlypTvBm5k,Waktu Yang Salah,70,325946,"Fiersa Besari, Thantri",0.665,0.276,-11.053,0.026,0.788,0.0,0.299,130.07
10,2gMXnyrvIjhVBUZwvLZDMP,Before You Go,86,215106,Lewis Capaldi,0.459,0.575,-4.858,0.0573,0.604,0.0,0.183,111.881
11,5sgRYOTpFZRROlndD460KI,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",69,249503,Fiersa Besari,0.531,0.825,-5.462,0.0432,0.127,0.0,0.247,125.043
12,4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),89,228482,"Ariana Grande, Justin Bieber",0.597,0.45,-6.658,0.0418,0.223,0.0,0.537,178.765
13,06pezDUwqVsUfpBNw6uJir,LATHI (with Sara Fajira),70,188900,"Weird Genius, Sara Fajira",0.586,0.898,-1.928,0.0353,0.0857,0.000254,0.21,149.971
14,1tS1dRfxIV9FzqdYTbJgMn,Kenangan Manis,71,207937,Pamungkas,0.604,0.678,-7.331,0.0304,0.0511,0.00169,0.721,139.974
15,5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,81,232906,PUBLIC,0.606,0.799,-4.452,0.0261,0.0128,0.0,0.638,103.014
16,4TnjEaWOeW0eKTKIEvJyCa,Falling,86,159381,Trevor Daniel,0.785,0.431,-8.756,0.0364,0.123,0.0,0.236,127.085
17,16wAOAZ2OkqoIDN7TpChjR,Yummy,76,208520,Justin Bieber,0.676,0.506,-6.652,0.0958,0.345,0.0,0.497,145.842
18,3CYH422oy1cZNoo0GTG1TK,Psycho,80,210560,Red Velvet,0.664,0.666,-2.203,0.0446,0.193,0.0,0.405,139.987
19,207UhtrPquuAae44b2LhZW,How You Like That,78,180956,BLACKPINK,0.813,0.787,-4.254,0.0777,0.0452,0.000107,0.326,130.018
